PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
18,30,255,20,206,36,0,19,84,0,1,1,3
16,50,11,1,17,11,1,7,34,1,1,1,3
16,27,6,7,10,4,0,19,23,2,1,11,3
9,26,11,27,18,5,0,5,22,3,6,6,4
18,24,11,20,7,11,0,19,34,0,0,0,3
16,24,6,15,9,31,1,6,30,0,1,1,3
9,9,2,11,10,91,1,8,19,0,0,1,4
13,25,23,14,43,2,1,18,17,0,1,1,3
18,42,69,40,89,11,3,37,37,1,1,1,3
8,19,6,25,13,19,1,5,30,0,0,1,4
5,9,7,6,15,0,0,18,17,0,1,1,5
20,42,11,9,14,63,1,14,4,0,1,1,3
3,11,17,5,18,19,0,13,5,0,1,1,4
33,24,1,28,17,11,2,8,36,0,1,1,1
18,65,8,8,17,4,0,165,22,1,1,1,2
8,14,1,2,2,2,1,4,34,0,0,0,4
4,9,0,3,1,5,2,24,27,0,0,0,3
12,27,25,11,45,2,1,12,17,0,1,1,3
14,24,5,13,14,3,1,5,30,0,0,1,4
10,24,5,1,6,11,12,2,14,0,0,0,2
53,24,5,7,17,11,3,13,11,2,20,1,1
22,24,5,11,5,11,1,58,33,0,11,9,2
15,24,9,14,19,11,1,8,20,0,0,0,3
8,27,2,22,0,20,0,4,26,0,0,1,4
12,24,5,11,10,11,0,7,12,0,0,0,4
15,32,21,26,37,6,0,19,13,3,1,13,3
44,100,29,6,25,11,0,12,34,0,0,1,1
13,25,2,31,12,25,1,10,45,1,5,3,4
8,9,0,1,0,1,0,6,1,0,0,1,5
5,24,3,6,3,29,69,1,18,0,0,1,5
22,24,6,11,9,3,2,4,29,3,7,1,3
11,20,10,12,12,17,0,12,30,0,1,0,4
18,24,11,20,17,11,3,19,34,1,1,1,3
18,28,0,8,3,9,0,9,31,0,1,0,3
14,35,5,24,14,19,1,23,51,1,7,0,3
7,14,4,10,5,28,0,20,54,1,2,14,4
4,11,0,2,3,1,1,2,32,1,1,1,4
63,24,11,32,21,37,3,11,27,1,3,1,1
9,23,3,11,8,21,1,14,48,0,8,0,3
16,29,6,23,15,25,1,15,36,1,8,4,3
4,7,5,14,12,8,1,4,17,0,0,1,4
18,5,1,6,3,11,0,2,34,1,1,1,3
22,28,10,16,16,11,16,6,20,1,4,3,2
21,51,5,19,16,6,3,13,56,0,3,1,2
21,24,3,10,10,7,1,22,60,0,4,2,3
3,11,14,7,17,11,0,14,8,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
7,13,2,5,6,3,1,6,48,1,1,1,4
4,13,8,4,10,6,0,11,16,0,1,1,4
4,10,16,26,12,3,1,3,21,0,0,1,4
7,25,11,31,20,2,1,8,19,2,5,7,4
18,73,6,7,17,4,0,119,16,1,1,1,3
6,23,2,15,7,13,0,10,57,0,1,0,3
18,24,9,55,28,11,22,112,64,8,38,17,0
17,27,7,21,15,27,1,14,29,1,9,4,2
55,91,48,46,55,33,3,26,42,4,33,9,1
13,18,20,16,13,11,2,7,31,0,0,1,3
40,88,68,66,70,26,3,35,111,1,6,1,0
18,24,11,20,17,11,3,19,34,1,1,1,3
14,24,12,23,16,23,1,8,43,0,0,1,4
18,43,5,7,17,4,0,101,40,1,1,1,3
10,13,0,19,15,11,1,18,60,0,0,1,4
12,10,5,12,14,28,1,11,27,0,1,1,4
9,17,0,3,1,2,0,2,59,1,1,1,4
92,24,6,7,17,11,32,11,8,1,14,1,0
15,43,18,30,39,11,3,29,49,1,1,1,3
12,24,2,16,17,11,2,6,24,0,0,1,4
13,24,1,7,17,11,0,8,39,0,0,1,3
3,4,2,12,6,3,0,4,53,1,1,1,4
27,24,9,102,44,11,22,180,62,7,31,8,0
39,55,41,31,49,44,2,36,68,3,9,1,1
18,24,3,16,8,8,1,6,44,0,0,1,3
58,24,39,35,60,11,3,1,10,0,0,0,1
68,108,44,61,74,45,2,22,141,5,15,1,0
3,11,5,11,4,3,0,7,30,0,0,3,4
7,24,1,9,0,17,0,4,62,0,0,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
12,21,2,10,3,57,1,10,12,3,0,1,4
19,24,39,109,42,11,2,55,80,1,10,11,3
10,24,3,9,9,2,1,7,25,0,0,1,4
7,12,4,0,3,2,1,4,34,0,0,0,4
20,35,14,18,24,30,4,21,9,0,1,1,2
23,50,16,34,39,22,0,10,50,2,5,1,2
6,8,0,1,0,2,0,10,20,0,0,1,4
43,24,2,8,17,11,1,14,25,0,1,1,1
18,24,11,20,17,11,3,19,34,1,1,1,3
35,80,52,62,59,25,1,32,98,0,4,1,0
18,24,11,20,17,11,3,19,34,1,1,1,3
4,24,1,10,17,11,3,6,23,0,0,1,5
15,24,2,40,9,11,1,56,114,0,8,6,2
30,24,6,37,10,11,2,18,49,1,1,1,2
2,4,4,7,2,2,0,5,33,0,0,0,4
18,24,11,20,10,11,0,19,34,0,0,0,3
8,22,10,6,13,8,1,14,34,0,0,13,4
15,24,3,2,2,7,1,14,0,1,1,1,3
10,24,16,16,26,11,2,12,17,0,0,0,4
5,12,3,18,9,8,0,6,18,0,4,12,5
13,24,6,14,8,58,1,8,19,0,1,1,4
34,24,11,30,17,11,2,12,59,2,7,1,1
19,30,1,19,9,7,1,12,83,2,5,1,3
18,24,11,20,40,11,3,19,34,0,0,0,3
7,20,3,16,9,15,0,14,15,0,1,1,4
18,49,5,7,17,11,0,31,15,1,1,1,3
13,44,4,29,14,11,0,28,46,2,6,2,3
23,40,16,30,23,11,1,21,40,3,9,6,3
19,24,10,40,21,11,22,116,3,2,18,10,1
17,24,4,20,8,11,0,2,60,0,0,1,3
11,35,14,23,28,24,1,12,33,1,4,1,3
18,24,11,20,0,11,0,19,34,0,0,0,3
6,24,11,20,17,11,0,1,29,1,1,1,4
9,24,3,9,9,11,1,7,35,0,0,0,3
18,47,5,6,17,11,0,68,21,1,1,1,3
35,83,19,4,14,5,2,53,37,0,1,1,1
11,17,8,18,2,6,0,5,53,0,3,1,3
18,24,11,20,14,11,0,19,34,0,0,0,3
5,8,4,7,9,44,0,7,22,0,0,1,5
7,24,3,12,6,10,6,9,87,5,1,1,3
5,23,3,9,8,8,1,7,55,0,0,1,3
18,31,5,2,6,0,1,11,34,3,1,1,3
2,11,1,13,5,5,0,10,19,1,5,1,5
18,35,8,29,16,12,0,18,29,0,1,0,3
18,24,6,10,7,77,1,11,46,0,0,1,3
15,24,0,14,17,11,1,7,37,0,2,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
8,19,7,19,14,23,1,15,30,0,11,0,3
22,40,28,34,50,19,1,15,20,21,23,5,3
18,80,6,7,17,5,0,115,15,1,1,1,2
13,24,10,13,9,76,1,7,13,0,1,1,3
5,17,5,14,11,35,1,7,46,0,0,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
15,14,2,22,9,12,0,6,45,2,2,1,3
16,24,2,6,4,5,1,9,38,10,4,1,3
4,24,3,7,8,11,0,8,18,0,0,0,4
8,24,7,41,20,28,3,3,11,1,2,1,3
31,46,12,31,21,11,1,17,64,2,3,3,2
17,28,4,25,13,11,1,9,50,1,1,1,3
18,5,4,14,14,2,3,19,59,0,1,1,3
68,24,4,9,2,11,1,7,53,1,1,1,1
9,24,4,9,7,76,1,3,15,0,2,1,4
2,4,2,1,2,12,2,3,34,0,0,0,4
24,40,46,8,70,8,1,15,17,1,1,1,3
7,24,54,20,61,11,121,20,3,0,0,0,0
16,26,6,49,9,22,0,41,55,0,0,0,3
12,24,3,14,2,11,1,5,31,0,0,1,3
8,16,2,5,2,10,1,14,6,1,1,1,4
16,31,7,30,22,12,1,7,66,0,0,1,3
3,11,8,13,17,11,1,18,34,0,1,1,3
7,7,0,41,32,11,0,9,37,0,0,1,4
4,8,8,7,17,2,0,16,9,4,1,1,5
13,24,35,34,6,30,0,19,34,0,0,1,4
18,24,11,20,17,11,0,19,34,0,0,0,3
13,30,5,16,13,15,1,23,48,0,2,1,3
2,5,3,4,5,3,0,6,28,1,1,1,5
11,27,11,33,29,10,1,12,37,0,1,1,3
9,24,1,6,4,22,13,4,47,0,4,1,3
13,44,11,39,24,11,1,13,60,1,1,1,3
36,40,12,20,19,35,14,6,15,1,3,3,2
29,61,35,41,26,20,1,25,35,2,4,1,1
11,19,4,15,12,11,1,6,55,0,0,1,3
10,38,4,32,8,27,0,41,56,0,5,1,3
5,20,2,17,0,25,0,6,53,0,0,1,4
4,9,6,11,5,4,0,5,26,0,1,0,4
7,22,44,10,27,9,1,12,34,0,2,0,3
58,127,31,49,25,25,1,86,65,1,10,1,0
18,24,11,20,0,11,0,19,34,0,0,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,1,4,2,11,0,2,27,1,1,1,3
9,18,4,7,8,7,1,7,24,0,1,0,3
6,21,3,18,9,8,0,10,14,0,10,32,4
4,9,4,15,8,5,1,11,31,1,3,4,4
10,22,8,17,18,10,3,5,29,1,1,1,3
18,24,20,16,30,11,2,5,9,0,1,1,3
8,14,3,29,26,13,0,3,22,3,7,1,4
32,57,22,17,44,16,1,31,33,1,1,1,1
18,24,11,20,17,11,3,19,34,1,1,1,3
35,24,6,28,17,11,1,8,101,1,2,1,1
13,24,23,14,31,11,2,9,12,0,0,0,3
10,24,2,28,13,12,0,6,43,0,2,2,4
5,11,8,17,15,10,1,5,18,0,1,1,4
11,21,7,22,23,15,0,19,61,3,7,2,3
10,24,2,5,4,34,3,4,47,0,2,1,4
18,24,2,9,9,11,0,3,36,0,1,0,3
9,24,6,18,2,11,4,21,22,1,1,1,3
14,24,6,8,12,11,14,24,24,1,5,3,2
15,35,32,118,75,11,71,201,40,0,13,3,0
5,10,4,0,3,2,1,4,34,0,0,0,4
18,148,5,5,17,4,0,19,3,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
39,24,6,9,13,11,2,11,32,0,0,0,1
105,137,94,84,86,66,3,43,191,5,13,1,0
7,10,0,1,0,1,0,10,62,0,0,1,4
7,10,7,17,19,3,1,17,21,0,0,1,4
37,24,8,4,5,11,2,44,72,1,10,10,1
8,24,3,14,7,164,0,13,28,0,0,1,4
5,9,1,9,4,10,0,7,30,0,2,0,4
18,24,11,20,10,11,0,19,34,0,0,0,3
10,16,1,11,5,11,0,22,35,0,1,0,4
14,27,7,69,32,11,16,187,45,2,21,3,0
19,24,3,12,3,11,1,6,15,1,2,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
10,22,7,24,22,32,0,11,43,0,1,1,4
22,24,3,26,8,11,1,33,38,1,1,1,3
13,24,2,10,2,11,3,17,32,1,0,1,3
4,9,8,15,14,19,1,11,23,0,5,3,4
9,18,2,20,9,14,0,9,43,0,2,0,4
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,14,11,0,19,34,0,0,0,3
11,24,6,11,13,23,0,23,43,0,0,1,4
16,24,1,11,4,11,1,14,121,1,1,1,2
18,24,11,20,12,11,0,19,34,0,0,0,3
22,56,34,31,48,16,2,15,52,2,7,5,2
4,12,6,13,12,13,1,9,16,0,0,1,4
4,12,2,8,5,13,3,19,54,0,0,1,3
18,38,15,28,33,15,1,10,46,1,1,1,3
33,61,47,23,48,11,0,16,45,1,2,1,2
12,26,8,24,21,15,1,7,41,0,2,1,3
28,38,8,12,10,12,1,19,18,0,1,1,2
4,8,0,1,0,0,1,1,26,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
26,51,19,35,30,23,1,26,42,2,15,0,2
3,7,0,2,1,0,1,1,20,1,1,1,5
7,14,4,25,20,18,1,9,52,0,2,1,4
13,24,16,67,25,11,1,52,53,1,20,21,3
19,49,54,45,64,14,3,15,21,1,3,1,2
18,30,0,8,0,5,4,5,6,0,1,1,3
25,72,51,18,57,11,4,46,33,1,1,1,2
8,25,3,10,10,7,1,10,32,0,3,1,4
39,24,11,20,17,11,0,3,42,1,1,1,2
7,10,1,8,4,2,1,4,7,1,1,1,4
35,52,11,5,8,9,3,63,16,0,0,1,2
18,24,11,20,17,11,3,19,34,1,1,1,3
9,24,15,44,16,11,1,54,66,0,3,7,3
14,24,10,56,17,11,1,51,92,3,31,38,3
8,24,23,13,29,11,2,7,7,0,0,0,3
8,18,8,34,27,38,1,16,40,0,10,1,4
14,24,15,0,12,5,2,14,5,1,1,1,3
17,24,0,9,7,11,0,1,21,0,2,0,4
18,5,1,8,4,11,0,2,34,1,1,1,5
11,22,2,28,12,11,4,41,53,6,26,8,3
13,30,20,18,31,11,2,21,39,0,1,1,3
10,1,6,5,9,31,1,7,48,0,0,1,4
0,24,1,7,3,51,2,4,7,0,1,1,3
12,21,22,18,6,62,0,19,24,0,0,1,4
15,58,18,28,38,20,1,13,61,1,3,1,2
96,146,28,56,47,11,3,15,24,1,3,1,0
22,32,2,18,8,11,1,6,99,4,7,4,3
20,24,16,55,31,11,37,145,78,10,49,30,1
4,25,11,20,0,11,0,19,34,0,0,1,3
5,7,8,14,10,11,1,6,12,0,0,1,4
4,12,14,19,27,13,1,12,29,1,1,1,4
18,24,11,20,17,11,0,19,34,0,0,0,3
9,24,6,11,15,1,1,8,13,0,2,1,4
14,34,13,34,23,8,1,15,18,3,5,3,3
18,24,7,57,26,11,16,153,61,0,3,4,1
18,24,11,20,17,11,0,19,34,0,0,0,3
34,24,7,13,6,11,2,63,34,0,2,2,1
8,14,9,13,17,21,0,4,26,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
11,24,6,16,11,16,1,9,16,0,0,1,4
2,24,2,3,5,23,1,9,47,0,0,1,4
62,108,54,43,56,34,3,21,52,5,41,4,1
18,37,9,17,2,10,0,10,58,0,0,0,3
2,6,57,17,50,10,2,19,1,1,0,1,3
3,3,0,44,34,1,0,7,32,0,0,1,3
30,51,32,31,36,25,1,13,28,2,14,0,2
4,4,4,4,6,5,2,13,25,0,0,1,4
5,11,30,0,24,6,2,55,1,0,1,1,4
18,25,7,7,10,5,1,17,7,0,1,1,3
6,24,2,4,7,3,3,34,32,0,1,1,5
18,24,5,5,8,11,2,12,22,0,0,1,3
12,12,6,0,7,22,0,7,2,16,16,1,4
15,24,3,6,5,100,1,5,46,1,1,1,3
11,27,7,14,8,5,0,7,29,0,2,4,4
5,30,11,23,0,19,1,5,53,0,0,1,3
4,13,3,14,7,9,0,8,16,0,2,0,4
11,12,8,18,21,3,1,15,25,0,0,1,4
4,12,18,7,19,18,0,8,29,1,1,1,4
21,37,2,26,12,12,0,23,136,0,0,0,2
27,53,32,38,56,12,1,12,39,11,17,7,2
8,17,1,21,10,9,0,3,41,0,5,1,4
15,24,22,25,3,7,15,1,34,4,1,1,3
18,24,11,20,30,11,1,19,34,0,0,0,3
7,16,3,5,4,32,2,6,4,0,1,1,3
21,27,1,11,5,13,1,32,46,0,1,0,3
5,17,10,13,14,16,1,8,15,0,1,1,4
8,24,5,6,17,4,3,6,51,1,1,1,3
20,24,9,4,11,11,21,25,5,2,4,0,1
9,13,2,4,3,4,2,14,45,1,1,1,4
18,18,16,7,17,6,2,19,15,1,1,1,3
18,42,6,7,17,4,0,162,16,1,1,1,3
25,24,44,22,54,11,2,6,10,0,1,1,3
18,24,11,20,22,11,0,19,34,0,0,0,3
12,41,26,33,35,11,58,55,32,1,17,0,0
32,24,6,35,21,15,1,16,36,0,1,1,2
18,33,15,29,35,11,1,16,31,2,1,1,3
11,26,2,7,4,11,1,7,90,2,1,3,3
28,24,4,33,11,11,0,13,103,0,0,1,1
14,22,6,2,7,1,2,46,10,0,1,1,3
6,20,4,10,12,11,0,5,18,0,0,1,4
5,19,5,16,14,11,1,8,26,0,0,1,4
18,24,11,20,12,11,0,19,34,0,0,0,3
63,24,18,20,13,11,2,30,64,0,2,3,0
7,24,4,8,4,11,0,4,13,0,0,1,5
23,31,5,6,17,4,3,8,95,1,1,1,3
15,24,4,22,1,11,1,8,28,0,0,1,3
20,51,22,46,37,21,2,31,57,2,19,0,3
16,36,10,14,14,12,1,17,60,0,1,1,3
12,35,4,28,14,15,1,15,34,2,18,16,3
18,24,11,20,17,11,3,19,34,1,1,1,3
35,24,37,86,36,11,1,61,21,1,12,15,2
15,24,2,6,2,11,2,10,32,0,0,1,3
3,5,11,29,13,1,0,8,11,0,0,1,5
18,24,31,15,37,11,2,6,9,0,1,1,3
3,12,14,14,23,11,2,25,18,0,1,1,4
33,55,37,49,55,15,2,53,86,1,5,1,2
18,24,11,20,12,11,0,19,34,0,0,0,3
23,24,41,57,30,11,92,92,44,2,18,10,0
18,24,11,20,70,11,0,19,34,0,0,0,3
18,24,10,11,8,11,3,13,1,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
5,24,2,4,6,21,0,17,41,1,0,0,4
13,24,7,14,16,26,1,16,23,0,0,1,3
5,12,2,11,9,16,1,19,41,0,12,1,4
18,24,11,20,17,11,0,19,34,1,1,1,3
8,13,6,14,10,10,1,12,43,1,1,1,4
18,24,2,5,2,11,0,2,41,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
7,14,2,16,8,6,1,9,32,1,1,1,4
12,19,5,11,9,24,0,16,30,0,4,1,4
17,24,30,76,85,11,0,3,24,0,0,0,3
21,24,6,10,13,11,0,6,25,0,4,0,3
5,12,9,12,16,15,1,13,17,0,1,1,4
42,24,16,31,17,11,3,11,62,1,6,1,1
10,23,12,25,24,19,1,19,65,0,3,1,3
18,7,5,6,17,4,2,6,105,1,1,1,3
17,26,1,12,6,14,1,16,53,0,7,0,3
13,24,4,7,5,25,1,8,32,5,1,1,3
18,95,4,5,17,4,0,110,8,1,1,1,1
3,8,1,4,2,18,0,17,23,1,0,1,5
2,4,0,2,0,2,0,6,18,0,0,1,5
13,22,16,13,18,11,0,16,7,0,1,1,4
6,10,11,35,21,1,1,8,16,0,0,1,5
20,28,1,9,5,3,3,13,61,1,1,1,3
29,43,1,21,9,15,0,16,75,0,2,0,2
41,24,19,41,29,42,2,11,25,0,0,1,2
14,24,11,23,2,11,3,17,26,1,2,1,3
18,24,11,20,17,11,3,19,34,0,0,0,3
18,24,5,17,12,11,0,7,18,0,1,1,3
11,26,11,28,26,13,1,13,52,0,5,1,3
12,32,14,20,26,5,0,11,24,3,0,11,3
10,14,0,1,0,1,0,9,36,0,0,1,4
20,60,8,36,9,24,0,40,41,0,1,0,3
2,8,4,5,2,18,0,8,34,0,0,0,4
20,35,3,32,16,13,0,12,66,0,2,0,3
17,29,7,35,17,9,1,10,72,0,0,1,3
14,24,3,10,6,11,0,22,18,0,0,0,4
22,40,17,32,39,19,1,21,24,15,19,4,3
8,27,3,9,6,9,1,11,61,1,1,1,3
13,35,1,24,11,14,1,7,38,0,4,4,3
33,66,20,19,28,64,3,12,6,0,1,1,2
25,24,20,55,19,11,45,41,42,2,18,10,0
18,28,21,10,18,29,1,13,10,1,0,1,3
17,33,3,28,14,12,1,7,24,1,8,2,3
16,28,5,15,10,11,1,16,25,0,1,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,0,5,0,19,34,0,0,0,3
14,24,10,16,19,11,0,9,13,0,0,0,3
25,24,1,15,13,11,1,6,25,0,2,1,2
25,24,5,25,2,11,2,10,34,0,0,1,3
6,24,11,20,26,11,1,22,37,0,1,1,4
8,18,1,18,8,5,0,22,54,0,0,0,4
18,24,11,20,17,11,0,19,34,0,0,0,3
16,81,22,20,15,5,3,18,8,0,1,1,2
12,21,2,25,21,21,0,10,37,2,4,1,4
4,8,0,3,1,2,0,19,36,0,0,0,5
6,8,1,13,6,12,1,5,94,0,1,1,4
13,24,18,42,17,11,1,6,36,0,0,1,3
18,24,3,5,5,126,1,5,19,2,4,1,3
18,24,11,20,17,11,0,19,34,1,1,1,3
8,13,34,21,30,13,2,28,0,1,0,1,4
19,39,17,28,25,32,2,11,39,1,18,0,3
8,20,5,16,9,8,0,11,55,1,1,1,4
10,24,5,11,13,40,1,12,27,0,0,1,4
7,24,4,12,10,23,1,4,14,0,0,1,4
2,10,10,4,12,2,0,9,14,0,1,1,5
5,10,2,10,6,9,0,8,52,0,0,0,4
6,6,5,10,12,2,0,12,44,0,0,1,4
23,58,14,0,11,4,3,17,9,1,1,1,2
18,24,11,20,15,11,0,19,34,0,0,0,3
9,21,6,19,14,30,1,14,31,0,12,0,3
11,24,4,14,15,11,10,8,9,0,1,0,3
18,24,11,20,0,11,0,19,34,0,0,0,3
97,24,5,7,9,11,0,9,12,0,0,0,3
9,24,7,15,18,7,0,19,15,2,1,10,4
13,26,7,40,6,19,0,60,44,0,0,0,3
18,24,11,20,7,11,0,19,34,0,0,0,3
2,2,0,2,0,2,0,6,24,0,0,1,5
29,64,19,43,31,14,2,25,71,1,1,1,2
8,25,15,18,26,16,0,10,31,5,1,1,3
5,8,4,20,19,8,1,2,10,2,4,1,4
16,28,2,24,11,6,1,10,81,2,4,2,3
21,28,1,9,4,9,1,19,60,0,1,0,3
12,20,5,21,12,10,0,6,30,0,1,0,3
49,98,31,38,51,36,2,21,121,2,4,1,1
14,25,8,14,17,20,0,10,23,1,1,1,4
7,11,1,10,5,2,1,9,41,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
13,21,3,9,9,7,1,6,30,0,1,1,3
18,45,4,7,17,11,0,50,17,1,1,1,3
50,70,52,47,25,24,0,27,20,2,4,1,1
4,7,0,2,1,1,1,0,31,1,1,1,4
18,24,11,20,12,11,0,19,34,0,0,0,3
18,24,2,12,11,11,0,10,49,0,3,1,3
15,33,3,54,44,10,1,3,19,3,4,9,3
18,24,11,20,17,11,3,19,34,1,1,1,3
30,24,18,39,21,16,0,14,48,0,0,1,2
22,24,6,7,6,0,2,11,18,1,2,1,3
38,50,6,12,14,32,1,10,55,0,1,1,2
31,55,10,34,19,24,1,7,23,1,0,1,3
10,24,6,19,14,20,1,5,23,0,0,1,4
